InletPressureBara,InletFlowrateKgps,InletTemperatureCelsius,ReservoirPressureBara,WasTwoPhase,WasLiquid,FluidPressureAtReservoirBara,FluidTemperatureAtReservoirCelsius,FluidPhaseAtReservoir,PressureStatus
140,132,10,40,False,True,88.85464748129525,6.548959603692879,Liquid,High
140,131,10,40,False,True,89.48104384111994,6.567069663519703,Liquid,High
140,130,10,40,False,True,90.10184515041847,6.684955547091761,Liquid,High
140,129,10,40,False,True,90.72464900585203,6.747346572273841,Liquid,High
140,128,10,40,False,True,91.34776877748706,6.637653090549179,Liquid,High
140,127,10,40,False,True,91.95769411144823,6.91044586256578,Liquid,High
140,126,10,40,False,True,92.59903859747187,6.774197518272729,Liquid,High
140,125,10,40,False,True,93.18500268710073,6.791574586839715,Liquid,High
140,124,10,40,False,True,93.77044262590353,6.982321363737583,Liquid,High
140,123,10,40,False,True,94.33289967599919,7.301239009844551,Liquid,High
140,122,10,40,False,True,94.96208358358955,7.063344375607073,Liquid,High
140,121,10,40,False,True,95.53944350392322,7.1148184269561625,Liquid,High
140,120,10,40,False,True,96.0992853121613,7.238444592873861,Liquid,High
140,119,10,40,False,True,96.66233132981799,7.244437115060919,Liquid,High
140,118,10,40,False,True,97.23255217214317,7.385404165724481,Liquid,High
140,117,10,40,False,True,97.80714077268318,7.462895142596722,Liquid,High
140,116,10,40,False,True,98.3564145824009,7.406703445717028,Liquid,High
140,115,10,40,False,True,98.90290134980141,7.445879679938855,Liquid,High
140,114,10,40,False,True,99.42847077564753,7.71201247802918,Liquid,High
140,113,10,40,False,True,100.01693433088273,7.4915131271035875,Liquid,High
140,112,10,40,False,True,100.57300404735837,7.311504958049966,Liquid,High
140,111,10,40,False,True,101.0535270884232,7.711007796223726,Liquid,High
140,110,10,40,False,True,101.58248103918162,7.829304699213878,Liquid,High
140,109,10,40,False,True,102.11548925522757,7.748952124757523,Liquid,High
140,108,10,40,False,True,102.62674747058846,7.824946543545082,Liquid,High
140,107,10,40,False,True,103.1362393746209,7.885938294962841,Liquid,High
140,106,10,40,False,True,103.62300614419472,8.056865614570711,Liquid,High
140,105,10,40,False,True,104.13046027555042,8.071462400074836,Liquid,High
140,104,10,40,False,True,104.6476713803749,7.9893954177921955,Liquid,High
140,103,10,40,False,True,105.11049462585508,8.15049808938818,Liquid,High
140,102,10,40,False,True,105.62429197924969,7.883476189226599,Liquid,High
140,101,10,40,False,True,106.0699503568312,8.56058053646882,Liquid,High
140,100,10,40,False,True,106.55692568846808,8.301610481519106,Liquid,High
140,99,10,40,False,True,107.03317623661228,8.33115424241413,Liquid,High
140,98,10,40,False,True,107.5099895978565,8.4273628264678,Liquid,High
140,97,10,40,False,True,107.94545259664567,8.48395106237814,Liquid,High
140,96,10,40,False,True,108.43086219170331,8.487945059270714,Liquid,High
140,95,10,40,False,True,108.86530035793243,8.49482738863577,Liquid,High
140,94,10,40,False,True,109.308652263522,8.577344612642037,Liquid,High
140,93,10,40,False,True,109.75542143081327,8.81156522212774,Liquid,High
140,92,10,40,False,True,110.20173948191383,8.727081579843912,Liquid,High
140,91,10,40,False,True,110.63063976210022,8.818847048543205,Liquid,High
140,90,10,40,False,True,111.06463048553162,8.720449787508016,Liquid,High
140,89,10,40,False,True,111.48016834410791,8.818233165394759,Liquid,High
140,88,10,40,False,True,111.88939188451266,9.052017510509131,Liquid,High
140,87,10,40,False,True,112.30726808675075,9.13570895023497,Liquid,High
140,86,10,40,False,True,112.72076106300788,8.735843988858562,Liquid,High
140,85,10,40,False,True,113.1250698036705,9.064966552933413,Liquid,High
140,84,10,40,False,True,113.53539871207578,8.820399144902751,Liquid,High
140,83,10,40,False,True,113.92578387388228,8.980248966978365,Liquid,High
140,82,10,40,False,True,114.335511391372,8.750097541012167,Liquid,High
140,81,10,40,False,True,114.70206940488211,9.08808625169894,Liquid,High
140,80,10,40,False,True,115.08706214523332,9.180870184459025,Liquid,High
140,79,10,40,False,True,115.47048654750675,8.908984022478478,Liquid,High
140,78,10,40,False,True,115.84094943731559,8.835955918470063,Liquid,High
140,77,10,40,False,True,116.19831268623643,9.06798899601705,Liquid,High
140,76,10,40,False,True,116.56649293758454,8.570744933652634,Liquid,High
140,75,10,40,False,True,116.91043695727461,9.240449708473932,Liquid,High
140,74,10,40,False,True,117.27122053418029,9.074650769314246,Liquid,High
140,73,10,40,False,True,117.62130059260649,8.997146436317564,Liquid,High
140,72,10,40,False,True,117.96199561311276,8.994393041090973,Liquid,High
140,71,10,40,False,True,118.29611320514775,8.977733614034207,Liquid,High
140,70,10,40,False,True,118.63872629833273,8.906143915664245,Liquid,High
140,69,10,40,False,True,118.95791438525106,9.159081394612883,Liquid,High
140,68,10,40,False,True,119.28174748274256,8.92048714160586,Liquid,High
140,67,10,40,False,True,119.59842502729435,9.177536291305842,Liquid,High
140,66,10,40,False,True,119.91258164558195,9.24637903818342,Liquid,High
140,65,10,40,False,True,120.22476238805139,8.918112560881582,Liquid,High
140,64,10,40,False,True,120.5222759147718,9.25220493428617,Liquid,High
140,63,10,40,False,True,120.82551208634624,9.23071856697959,Liquid,High
140,62,10,40,False,True,121.12079262770676,8.75048686110182,Liquid,High
140,61,10,40,False,True,121.40966636994786,9.085771605421485,Liquid,High
140,60,10,40,False,True,121.69553427448417,9.174108274922105,Liquid,High
140,59,10,40,False,True,121.97926534866743,9.0888396023376,Liquid,High
140,58,10,40,False,True,122.24976647776496,9.090414388237718,Liquid,High
140,57,10,40,False,True,122.52429047893618,9.093334774890764,Liquid,High
