InletPressureBara,InletFlowrateKgps,InletTemperatureCelsius,ReservoirPressureBara,WasTwoPhase,WasLiquid,FluidPressureAtReservoirBara,FluidTemperatureAtReservoirCelsius,FluidPhaseAtReservoir,PressureStatus
140,132,10,40,False,True,135,10.134761326937337,Liquid,High
140,131,10,40,False,True,135,10.089780276139379,Liquid,High
140,130,10,40,False,True,135,10.1629737764153,Liquid,High
140,129,10,40,False,True,135,10.170905563894848,Liquid,High
140,128,10,40,False,True,134.9994220089545,9.978291587978049,Liquid,High
140,127,10,40,False,True,134.99879230386648,10.233313952727542,Liquid,High
140,126,10,40,False,True,134.99815212264434,10.079132241717332,Liquid,High
140,125,10,40,False,True,134.99750146528794,9.970198286924813,Liquid,High
140,124,10,40,False,True,134.99684033179736,10.131723712862424,Liquid,High
140,123,10,40,False,True,134.99616872217248,10.478021507629478,Liquid,High
140,122,10,40,False,True,134.9954866364135,10.14079899009704,Liquid,High
140,121,10,40,False,True,134.99479407452029,10.142629492018159,Liquid,High
140,120,10,40,False,True,134.99409103649293,10.228926887348962,Liquid,High
140,119,10,40,False,True,134.99337752233131,10.145373645780865,Liquid,High
140,118,10,40,False,True,134.99265353203552,10.250336688864081,Liquid,High
140,117,10,40,False,True,134.99191906560552,10.317527369068273,Liquid,High
140,116,10,40,False,True,134.99117412304133,10.165509713347944,Liquid,High
140,115,10,40,False,True,134.9904187043429,10.157391788040627,Liquid,High
140,114,10,40,False,True,134.9896528095103,10.407818628480072,Liquid,High
140,113,10,40,False,True,134.9888764385435,10.138133326545983,Liquid,High
140,112,10,40,False,True,134.9880895914425,9.883836227730853,Liquid,High
140,111,10,40,False,True,134.98729226820728,10.252112419182424,Liquid,High
140,110,10,40,False,True,134.98648446883794,10.335003357608912,Liquid,High
140,109,10,40,False,True,134.9856661933343,10.23050302345166,Liquid,High
140,108,10,40,False,True,134.98483744169653,10.232912708351932,Liquid,High
140,107,10,40,False,True,134.98399821392456,10.253822125994873,Liquid,High
140,106,10,40,False,True,134.9831485100183,10.399075205112922,Liquid,High
140,105,10,40,False,True,134.98228832997793,10.403739498568427,Liquid,High
140,104,10,40,False,True,134.9814176738033,10.230667189364112,Liquid,High
140,103,10,40,False,True,134.9805365414945,10.401927851048924,Liquid,High
140,102,10,40,False,True,134.9796449330515,10.061259757384391,Liquid,High
140,101,10,40,False,True,134.97874284847433,10.731991481646958,Liquid,High
140,100,10,40,False,True,134.97783028776294,10.402987261456929,Liquid,High
140,99,10,40,False,True,134.9769072509173,10.392892215522352,Liquid,High
140,98,10,40,False,True,134.97597373793755,10.486235299148404,Liquid,High
140,97,10,40,False,True,134.97502974882352,10.479207600468328,Liquid,High
140,96,10,40,False,True,134.9740752835753,10.475809096942783,Liquid,High
140,95,10,40,False,True,134.97311034219288,10.410089477168242,Liquid,High
140,94,10,40,False,True,134.97213492467628,10.490708246771533,Liquid,High
140,93,10,40,False,True,134.9711490310255,10.741148043504836,Liquid,High
140,92,10,40,False,True,134.97015266124055,10.57514966573251,Liquid,High
140,91,10,40,False,True,134.96914581532133,10.643305854529444,Liquid,High
140,90,10,40,False,True,134.9681284932679,10.493032180598561,Liquid,High
140,89,10,40,False,True,134.96710069508035,10.569347636295106,Liquid,High
140,88,10,40,False,True,134.96606242075853,10.751298089396187,Liquid,High
140,87,10,40,False,True,134.96501367030254,10.805480723991195,Liquid,High
140,86,10,40,False,True,134.9639544437123,10.340238329355714,Liquid,High
140,85,10,40,False,True,134.9628847409879,10.659504541464855,Liquid,High
140,84,10,40,False,True,134.96180456212932,10.397836465416276,Liquid,High
140,83,10,40,False,True,134.96071390713652,10.50125709043084,Liquid,High
140,82,10,40,False,True,134.9596127760095,10.22128338072838,Liquid,High
140,81,10,40,False,True,134.9585011687483,10.551741812903401,Liquid,High
140,80,10,40,False,True,134.95737908535293,10.653770976899864,Liquid,High
140,79,10,40,False,True,134.95624652582336,10.323964331857951,Liquid,High
140,78,10,40,False,True,134.95510349015953,10.224945057202149,Liquid,High
140,77,10,40,False,True,134.95394997836146,10.40717046200939,Liquid,High
140,76,10,40,False,True,134.95278599042933,9.885623974205487,Liquid,High
140,75,10,40,False,True,134.95161152636294,10.567128091168456,Liquid,High
140,74,10,40,False,True,134.9504265861623,10.327448356552225,Liquid,High
140,73,10,40,False,True,134.94923116982753,10.217560719143478,Liquid,High
140,72,10,40,False,True,134.94802527735854,10.222656513184404,Liquid,High
140,71,10,40,False,True,134.94680890875534,10.143562982306662,Liquid,High
140,70,10,40,False,True,134.94558206401788,10.065538114301717,Liquid,High
140,69,10,40,False,True,134.9443447431463,10.31725085071929,Liquid,High
140,68,10,40,False,True,134.9430969461405,10.006196800127213,Liquid,High
140,67,10,40,False,True,134.94183867300055,10.251168828728623,Liquid,High
140,66,10,40,False,True,134.94056992372634,10.29875045658963,Liquid,High
140,65,10,40,False,True,134.93929069831796,9.966012267643634,Liquid,High
140,64,10,40,False,True,134.93800099677534,10.257328517934013,Liquid,High
140,63,10,40,False,True,134.93670081909852,10.233830627061991,Liquid,High
140,62,10,40,False,True,134.9353901652875,9.72284172673318,Liquid,High
140,61,10,40,False,True,134.9340690353423,10.050455171927467,Liquid,High
140,60,10,40,False,True,134.9327374292629,10.085580580562407,Liquid,High
140,59,10,40,False,True,134.93139534704935,9.975312629640598,Liquid,High
140,58,10,40,False,True,134.93004278870148,9.97765779107334,Liquid,High
140,57,10,40,False,True,134.92867975421953,9.973984122317177,Liquid,High
140,56,10,40,False,True,134.9273062436033,10.155533553757493,Liquid,High
